index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.183539	 0.000000	22.356409	 0.000000	22.356409	 0.000000
  1	  0	  1	  0	 0.000417	-0.000000	 0.050747	-0.000001	 0.050747	-0.000012
  2	  0	 -1	  0	 0.000417	 0.000000	 0.050747	 0.000001	 0.050747	 0.000012
  3	  0	  2	  0	 0.066068	 0.000000	 8.047643	 0.000001	 8.047643	 0.000000
  4	  0	 -2	  0	 0.066068	-0.000000	 8.047643	-0.000001	 8.047643	-0.000000
  5	  0	  3	  0	-0.001111	-0.000000	-0.135320	-0.000000	 0.135320	-3.141592
  6	  0	 -3	  0	-0.001111	 0.000000	-0.135320	 0.000000	 0.135320	 3.141592
  7	  1	  0	  0	 0.000417	-0.000000	 0.050747	-0.000001	 0.050747	-0.000012
  8	  1	  1	  0	 0.050011	 0.000000	 6.091698	 0.000001	 6.091698	 0.000000
  9	  1	 -1	  0	 0.050011	 0.000000	 6.091698	 0.000000	 6.091698	 0.000000
 10	  1	  2	  0	-0.001491	 0.000000	-0.181644	 0.000000	 0.181644	 3.141593
 11	  1	 -2	  0	-0.001491	 0.000000	-0.181644	 0.000000	 0.181644	 3.141593
 12	  1	  3	  0	 0.019522	 0.000000	 2.377977	 0.000001	 2.377977	 0.000000
 13	  1	 -3	  0	 0.019522	-0.000000	 2.377977	-0.000000	 2.377977	-0.000000
 14	 -1	  0	  0	 0.000417	 0.000000	 0.050747	 0.000001	 0.050747	 0.000012
 15	 -1	  1	  0	 0.050011	 0.000000	 6.091698	 0.000000	 6.091698	 0.000000
 16	 -1	 -1	  0	 0.050011	-0.000000	 6.091698	-0.000001	 6.091698	-0.000000
 17	 -1	  2	  0	-0.001491	-0.000000	-0.181644	-0.000000	 0.181644	-3.141593
 18	 -1	 -2	  0	-0.001491	-0.000000	-0.181644	-0.000000	 0.181644	-3.141593
 19	 -1	  3	  0	 0.019522	 0.000000	 2.377977	 0.000000	 2.377977	 0.000000
 20	 -1	 -3	  0	 0.019522	-0.000000	 2.377977	-0.000001	 2.377977	-0.000000
 21	  2	  0	  0	 0.066068	 0.000000	 8.047643	 0.000001	 8.047643	 0.000000
 22	  2	  1	  0	-0.001491	 0.000000	-0.181644	 0.000000	 0.181644	 3.141593
 23	  2	 -1	  0	-0.001491	-0.000000	-0.181644	-0.000000	 0.181644	-3.141593
 24	  2	  2	  0	 0.044915	 0.000000	 5.470958	 0.000001	 5.470958	 0.000000
 25	  2	 -2	  0	 0.044915	 0.000000	 5.470958	 0.000000	 5.470958	 0.000000
 26	  2	  3	  0	-0.000826	 0.000000	-0.100605	 0.000001	 0.100605	 3.141588
 27	  2	 -3	  0	-0.000826	 0.000000	-0.100605	 0.000000	 0.100605	 3.141590
 28	 -2	  0	  0	 0.066068	-0.000000	 8.047643	-0.000001	 8.047643	-0.000000
 29	 -2	  1	  0	-0.001491	 0.000000	-0.181644	 0.000000	 0.181644	 3.141593
 30	 -2	 -1	  0	-0.001491	-0.000000	-0.181644	-0.000000	 0.181644	-3.141593
 31	 -2	  2	  0	 0.044915	 0.000000	 5.470958	 0.000000	 5.470958	 0.000000
 32	 -2	 -2	  0	 0.044915	-0.000000	 5.470958	-0.000001	 5.470958	-0.000000
 33	 -2	  3	  0	-0.000826	-0.000000	-0.100605	-0.000000	 0.100605	-3.141590
 34	 -2	 -3	  0	-0.000826	-0.000000	-0.100605	-0.000001	 0.100605	-3.141588
 35	  3	  0	  0	-0.001111	-0.000000	-0.135320	-0.000000	 0.135320	-3.141592
 36	  3	  1	  0	 0.019522	 0.000000	 2.377977	 0.000001	 2.377977	 0.000000
 37	  3	 -1	  0	 0.019522	 0.000000	 2.377977	 0.000000	 2.377977	 0.000000
 38	  3	  2	  0	-0.000826	 0.000000	-0.100605	 0.000001	 0.100605	 3.141588
 39	  3	 -2	  0	-0.000826	-0.000000	-0.100605	-0.000000	 0.100605	-3.141590
 40	 -3	  0	  0	-0.001111	 0.000000	-0.135320	 0.000000	 0.135320	 3.141592
 41	 -3	  1	  0	 0.019522	-0.000000	 2.377977	-0.000000	 2.377977	-0.000000
 42	 -3	 -1	  0	 0.019522	-0.000000	 2.377977	-0.000001	 2.377977	-0.000000
 43	 -3	  2	  0	-0.000826	 0.000000	-0.100605	 0.000000	 0.100605	 3.141590
 44	 -3	 -2	  0	-0.000826	-0.000000	-0.100605	-0.000001	 0.100605	-3.141588
 45	  0	 -4	  0	 0.027660	-0.000000	 3.369219	-0.000001	 3.369219	-0.000000
 46	  1	 -4	  0	-0.000654	-0.000000	-0.079639	-0.000000	 0.079639	-3.141591
 47	 -1	 -4	  0	-0.000654	-0.000000	-0.079639	-0.000000	 0.079639	-3.141587
 48	  2	 -4	  0	 0.022942	-0.000000	 2.794466	-0.000000	 2.794466	-0.000000
 49	 -2	 -4	  0	 0.022942	-0.000000	 2.794466	-0.000000	 2.794466	-0.000000
 50	  3	 -3	  0	 0.012589	 0.000000	 1.533405	 0.000000	 1.533405	 0.000000
 51	 -3	 -3	  0	 0.012589	-0.000000	 1.533405	-0.000000	 1.533405	-0.000000
 52	  0	  4	  0	 0.027660	 0.000000	 3.369219	 0.000001	 3.369219	 0.000000
 53	  1	  4	  0	-0.000654	 0.000000	-0.079639	 0.000000	 0.079639	 3.141587
 54	 -1	  4	  0	-0.000654	 0.000000	-0.079639	 0.000000	 0.079639	 3.141591
 55	  2	  4	  0	 0.022942	 0.000000	 2.794466	 0.000000	 2.794466	 0.000000
 56	 -2	  4	  0	 0.022942	 0.000000	 2.794466	 0.000000	 2.794466	 0.000000
 57	  3	  3	  0	 0.012589	 0.000000	 1.533405	 0.000000	 1.533405	 0.000000
 58	 -3	  3	  0	 0.012589	 0.000000	 1.533405	 0.000000	 1.533405	 0.000000
 59	  0	 -5	  0	-0.000430	-0.000000	-0.052360	-0.000000	 0.052360	-3.141586
 60	  1	 -5	  0	 0.008896	-0.000000	 1.083645	-0.000000	 1.083645	-0.000000
 61	 -1	 -5	  0	 0.008896	-0.000000	 1.083645	-0.000000	 1.083645	-0.000000
 62	  2	 -5	  0	-0.000342	-0.000000	-0.041708	-0.000000	 0.041708	-3.141592
 63	 -2	 -5	  0	-0.000342	-0.000000	-0.041708	-0.000001	 0.041708	-3.141579
 64	  3	 -4	  0	-0.000430	-0.000000	-0.052360	-0.000000	 0.052360	-3.141592
 65	 -3	 -4	  0	-0.000430	-0.000000	-0.052360	-0.000001	 0.052360	-3.141581
 66	  0	  5	  0	-0.000430	 0.000000	-0.052360	 0.000000	 0.052360	 3.141586
 67	  1	  5	  0	 0.008896	 0.000000	 1.083645	 0.000000	 1.083645	 0.000000
 68	 -1	  5	  0	 0.008896	 0.000000	 1.083645	 0.000000	 1.083645	 0.000000
 69	  2	  5	  0	-0.000342	 0.000000	-0.041708	 0.000001	 0.041708	 3.141579
 70	 -2	  5	  0	-0.000342	 0.000000	-0.041708	 0.000000	 0.041708	 3.141592
 71	  3	  4	  0	-0.000430	 0.000000	-0.052360	 0.000001	 0.052360	 3.141581
 72	 -3	  4	  0	-0.000430	 0.000000	-0.052360	 0.000000	 0.052360	 3.141592
 73	  0	 -6	  0	 0.013210	-0.000000	 1.609101	-0.000000	 1.609101	-0.000000
 74	  1	 -6	  0	-0.000203	-0.000000	-0.024717	-0.000000	 0.024717	-3.141585
 75	 -1	 -6	  0	-0.000203	-0.000000	-0.024717	-0.000000	 0.024717	-3.141579
 76	  2	 -6	  0	 0.011914	-0.000000	 1.451179	-0.000000	 1.451179	-0.000000
 77	 -2	 -6	  0	 0.011914	-0.000000	 1.451179	-0.000000	 1.451179	-0.000000
 78	  3	 -5	  0	 0.006725	-0.000000	 0.819151	-0.000000	 0.819151	-0.000000
 79	 -3	 -5	  0	 0.006725	-0.000000	 0.819151	-0.000001	 0.819151	-0.000001
 80	  0	  6	  0	 0.013210	 0.000000	 1.609101	 0.000000	 1.609101	 0.000000
 81	  1	  6	  0	-0.000203	 0.000000	-0.024717	 0.000000	 0.024717	 3.141579
 82	 -1	  6	  0	-0.000203	 0.000000	-0.024717	 0.000000	 0.024717	 3.141585
 83	  2	  6	  0	 0.011914	 0.000000	 1.451179	 0.000000	 1.451179	 0.000000
 84	 -2	  6	  0	 0.011914	 0.000000	 1.451179	 0.000000	 1.451179	 0.000000
 85	  3	  5	  0	 0.006725	 0.000000	 0.819151	 0.000001	 0.819151	 0.000001
 86	 -3	  5	  0	 0.006725	 0.000000	 0.819151	 0.000000	 0.819151	 0.000000
 87	 -4	  0	  0	 0.027660	-0.000000	 3.369219	-0.000001	 3.369219	-0.000000
 88	 -4	  1	  0	-0.000654	-0.000000	-0.079639	-0.000000	 0.079639	-3.141591
 89	 -4	 -1	  0	-0.000654	-0.000000	-0.079639	-0.000000	 0.079639	-3.141587
 90	 -4	  2	  0	 0.022942	-0.000000	 2.794466	-0.000000	 2.794466	-0.000000
 91	 -4	 -2	  0	 0.022942	-0.000000	 2.794466	-0.000000	 2.794466	-0.000000
 92	 -4	 -3	  0	-0.000430	-0.000000	-0.052360	-0.000001	 0.052360	-3.141581
 93	 -4	  3	  0	-0.000430	-0.000000	-0.052360	-0.000000	 0.052360	-3.141592
 94	 -4	 -4	  0	 0.014817	-0.000000	 1.804786	-0.000001	 1.804786	-0.000000
 95	 -4	  4	  0	 0.014817	 0.000000	 1.804786	 0.000000	 1.804786	 0.000000
 96	 -3	 -6	  0	-0.000110	 0.000000	-0.013369	 0.000000	 0.013369	 3.141590
 97	 -4	 -5	  0	-0.000151	-0.000000	-0.018358	-0.000000	 0.018358	-3.141588
 98	 -3	  6	  0	-0.000110	 0.000000	-0.013369	 0.000000	 0.013369	 3.141593
 99	 -4	  5	  0	-0.000151	-0.000000	-0.018358	-0.000000	 0.018358	-3.141589
