index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
0	45	9.99067	18	3	-68.70330	-12.52700
1	45	9.98822	15	7	-59.45580	-29.16550
2	45	9.98791	16	7	-60.55580	-25.60650
3	45	9.98773	16	6	-61.65580	-22.04730
4	45	9.98769	16	5	-62.75580	-18.48790
5	45	9.98779	16	4	-63.85590	-14.92840
6	45	9.98803	17	3	-64.95600	-11.36880
7	45	9.98841	17	2	-66.05610	-7.80930
8	45	9.98892	17	1	-67.15620	-4.24980
9	45	9.98958	18	0	-68.25630	-0.69040
10	45	9.99038	18	-1	-69.35630	 2.86880
11	45	9.99131	18	-2	-70.45620	 6.42780
12	45	9.99243	18	-5	-69.97890	18.17020
13	45	9.99108	18	-4	-68.87930	14.61220
14	45	9.98993	17	-3	-67.87570	11.02400
15	45	9.9888	17	-2	-66.67970	 7.49500
16	45	9.98789	17	-1	-65.60800	 4.02730
17	45	9.98709	17	0	-64.50800	 0.46800
18	45	9.98643	16	1	-63.40790	-3.09140
19	45	9.98598	16	2	-62.40400	-6.68060
20	45	9.98554	16	3	-61.20770	-10.21040
21	45	9.9853	15	4	-60.10760	-13.77000
22	45	9.9852	15	4	-59.00750	-17.32950
23	45	9.98524	15	5	-57.90750	-20.88880
24	45	9.98548	15	6	-56.90360	-24.47780
25	45	9.98573	14	7	-55.70760	-28.00710
26	45	9.98619	14	8	-54.60770	-31.56580
27	45	9.98676	14	9	-53.53620	-35.03300
28	45	9.98749	13	10	-52.43650	-38.59100
29	45	9.98602	12	11	-47.58780	-40.98990
30	45	9.98521	13	10	-48.78350	-37.46200
31	45	9.98448	13	9	-49.88310	-33.90400
32	45	9.98385	13	8	-50.85850	-30.40710
33	45	9.98339	13	7	-51.95840	-26.84840
34	45	9.98307	14	6	-53.08650	-23.19810
35	45	9.98296	14	5	-54.28270	-19.66860
36	45	9.98286	14	4	-55.25840	-16.17070
37	45	9.98296	14	3	-56.35840	-12.61120
38	45	9.9832	15	2	-57.45850	-9.05170
39	45	9.98358	15	1	-58.55860	-5.49210
40	45	9.98416	15	1	-59.75490	-1.96240
41	45	9.98476	16	0	-60.75880	 1.62670
42	45	9.98555	16	-1	-61.85880	 5.18600
43	45	9.98646	16	-2	-62.93050	 8.65370
44	45	9.98753	16	-3	-64.03040	12.21250
45	45	9.9888	17	-4	-65.22630	15.74120
46	45	9.99009	17	-5	-66.22970	19.32890
47	45	9.99158	17	-6	-67.32920	22.88650
48	45	9.99279	17	-8	-65.77770	31.15920
49	45	9.99098	17	-7	-64.65040	27.51140
50	45	9.98945	16	-6	-63.67540	24.01580
51	45	9.98796	16	-5	-62.57590	20.45820
52	45	9.98656	16	-4	-61.38010	16.92990
53	45	9.98535	16	-3	-60.28030	13.37140
54	45	9.98428	15	-3	-59.18050	 9.81270
55	45	9.9834	15	-2	-58.17670	 6.22400
56	45	9.98263	15	-1	-57.10490	 2.75600
57	45	9.98192	14	0	-55.90870	-0.77370
58	45	9.9814	14	1	-54.80860	-4.33320
59	45	9.98102	14	2	-53.70850	-7.89270
60	45	9.98084	14	3	-52.70460	-11.48200
61	45	9.98073	13	4	-51.60450	-15.04150
62	45	9.98072	13	5	-50.43650	-18.47990
63	45	9.98089	13	6	-49.33650	-22.03910
64	45	9.9812	12	7	-48.23650	-25.59810
65	45	9.98171	12	8	-47.23280	-29.18660
66	45	9.9823	12	8	-46.13310	-32.74500
67	45	9.98297	12	9	-44.93730	-36.27330
68	45	9.98384	11	10	-43.83780	-39.83100
69	45	9.98484	11	11	-42.73840	-43.38810
70	45	9.98604	11	12	-41.73540	-46.97440
71	45	9.98524	9	13	-36.78940	-49.34140
72	45	9.984	10	12	-37.98460	-45.81520
73	45	9.98286	10	11	-39.08380	-42.25860
74	45	9.98186	10	10	-40.18310	-38.70150
75	45	9.98094	11	9	-41.18640	-35.11410
76	45	9.98021	11	8	-42.28610	-31.55610
77	45	9.97967	11	7	-43.48200	-28.02740
78	45	9.97922	11	6	-44.58190	-24.46860
79	45	9.97891	12	5	-45.68180	-20.90960
80	45	9.97869	12	4	-46.68560	-17.32070
81	45	9.97865	12	4	-47.75750	-13.85250
82	45	9.9788	13	3	-48.95370	-10.32280
83	45	9.97904	13	2	-50.05380	-6.76320
84	45	9.97942	13	1	-51.15390	-3.20370
85	45	9.97989	13	0	-52.15780	 0.38550
86	45	9.98055	14	-1	-53.25790	 3.94490
87	45	9.98137	14	-2	-54.42590	 7.38320
88	45	9.9823	14	-3	-55.52580	10.94220
89	45	9.98337	15	-4	-56.62560	14.50090
90	45	9.98453	15	-5	-57.62920	18.08910
91	45	9.98588	15	-6	-58.72890	21.64710
92	45	9.98742	15	-6	-59.92450	25.17500
93	45	9.98904	16	-7	-61.02390	28.73210
94	45	9.99081	16	-8	-62.12310	32.28870
95	45	9.99266	16	-9	-63.12590	35.87440
96	45	9.99283	16	-10	-60.47310	40.58920
97	45	9.99083	15	-10	-59.47050	37.00420
98	45	9.98893	15	-9	-58.37150	33.44820
99	45	9.98716	15	-8	-57.27230	29.89160
100	45	9.98554	14	-7	-56.17300	26.33450
101	45	9.984	14	-6	-54.97730	22.80660
102	45	9.9827	14	-5	-53.97380	19.21880
103	45	9.98149	14	-4	-52.87410	15.66040
104	45	9.98042	13	-3	-51.77420	12.10160
105	45	9.97949	13	-2	-50.67430	 8.54260
106	45	9.97866	13	-1	-49.47810	 5.01310
107	45	9.97806	12	0	-48.50240	 1.51530
108	45	9.97755	12	1	-47.40240	-2.04420
109	45	9.97717	12	1	-46.30230	-5.60380
110	45	9.97688	12	2	-45.10600	-9.13360
111	45	9.97678	11	3	-44.00590	-12.69310
112	45	9.97686	11	4	-43.00200	-16.28220
113	45	9.97703	11	5	-41.93020	-19.75020
114	45	9.97735	10	6	-40.83030	-23.30920
115	45	9.97775	10	7	-39.63420	-26.83820
116	45	9.97834	10	8	-38.53450	-30.39660
117	45	9.97911	10	9	-37.53110	-33.98440
118	45	9.97998	9	10	-36.43160	-37.54200
119	45	9.98098	9	11	-35.33220	-41.09910
120	45	9.98208	9	11	-34.13680	-44.62600
121	45	9.98336	8	12	-33.03780	-48.18200
122	45	9.98482	8	13	-32.03520	-51.76710
123	45	9.98465	7	14	-27.18440	-54.16200
124	45	9.9831	7	13	-28.28300	-50.60740
125	45	9.98168	8	12	-29.38180	-47.05210
126	45	9.9804	8	11	-30.48080	-43.49610
127	45	9.97921	8	10	-31.48370	-39.90970
128	45	9.97825	8	9	-32.67930	-36.38240
129	45	9.97739	9	8	-33.77880	-32.82470
130	45	9.97666	9	8	-34.87840	-29.26670
131	45	9.97607	9	7	-35.97820	-25.70830
132	45	9.97558	10	6	-36.98180	-22.11980
133	45	9.97531	10	5	-38.17800	-18.59050
134	45	9.97514	10	4	-39.24980	-15.12260
135	45	9.9751	10	3	-40.34980	-11.56320
136	45	9.97521	11	2	-41.44990	-8.00370
137	45	9.9754	11	1	-42.45380	-4.41440
138	45	9.97582	11	0	-43.65010	-0.88460
139	45	9.97634	12	-1	-44.75020	 2.67490
140	45	9.97698	12	-2	-45.82200	 6.14300
141	45	9.97777	12	-2	-46.92200	 9.70230
142	45	9.9787	12	-3	-48.02200	13.26130
143	45	9.97977	13	-4	-49.12180	16.82000
144	45	9.98098	13	-5	-50.22160	20.37850
145	45	9.98232	13	-6	-51.32120	23.93650
146	45	9.98381	13	-7	-52.42070	27.49410
147	45	9.98544	14	-8	-53.52010	31.05120
148	45	9.9872	14	-9	-54.61930	34.60780
149	45	9.9891	14	-10	-55.71830	38.16380
150	45	9.99115	15	-11	-56.81710	41.71920
151	45	9.99333	15	-12	-57.91560	45.27380
152	45	9.9917	14	-12	-54.13460	46.34250
153	45	9.98957	14	-11	-53.06420	42.87900
154	45	9.98753	13	-10	-51.96540	39.32370
155	45	9.98563	13	-9	-50.86640	35.76770
156	45	9.98386	13	-8	-49.76720	32.21110
157	45	9.98224	13	-7	-48.66780	28.65400
158	45	9.98075	12	-6	-47.56830	25.09640
159	45	9.97941	12	-6	-46.46870	21.53830
160	45	9.97823	12	-5	-45.39720	18.07110
161	45	9.97713	11	-4	-44.26910	14.42110
162	45	9.9762	11	-3	-43.16920	10.86210
163	45	9.97541	11	-2	-42.06920	 7.30290
164	45	9.97476	11	-1	-40.96910	 3.74350
165	45	9.97426	10	0	-39.89720	 0.27530
166	45	9.97388	10	1	-38.79710	-3.28430
167	45	9.97364	10	2	-37.69700	-6.84380
168	45	9.97354	9	3	-36.59690	-10.40330
169	45	9.97357	9	4	-35.49690	-13.96270
170	45	9.97374	9	4	-34.42510	-17.43070
171	45	9.97405	9	5	-33.32520	-20.98970
172	45	9.9745	8	6	-32.22530	-24.54840
173	45	9.97509	8	7	-31.12560	-28.10680
174	45	9.97582	8	8	-30.02590	-31.66490
175	45	9.97668	7	9	-28.92640	-35.22250
176	45	9.97769	7	10	-27.82710	-38.77960
177	45	9.97883	7	11	-26.72790	-42.33620
178	45	9.98011	7	12	-25.62890	-45.89220
179	45	9.98152	6	13	-24.53010	-49.44760
180	45	9.98308	6	14	-23.43150	-53.00220
181	45	9.98336	5	14	-18.57970	-55.39610
182	45	9.98166	5	13	-19.67810	-51.84220
183	45	9.98007	5	12	-20.80480	-48.19640
184	45	9.97869	6	12	-21.87540	-44.73220
185	45	9.97738	6	11	-23.00260	-41.08500
186	45	9.97627	6	10	-24.07360	-37.61960
187	45	9.97527	6	9	-25.17300	-34.06250
188	45	9.9744	7	8	-26.27250	-30.50490
189	45	9.97368	7	7	-27.37210	-26.94680
190	45	9.97309	7	6	-28.47190	-23.38840
191	45	9.97264	8	5	-29.57170	-19.82970
192	45	9.97234	8	4	-30.64350	-16.36190
193	45	9.97216	8	3	-31.74350	-12.80270
194	45	9.97212	8	2	-32.84350	-9.24330
195	45	9.97222	9	1	-33.94360	-5.68380
196	45	9.97246	9	1	-35.04370	-2.12420
197	45	9.97284	9	0	-36.14380	 1.43530
198	45	9.97334	10	-1	-37.21570	 4.90350
199	45	9.974	10	-2	-38.31570	 8.46290
200	45	9.97479	10	-3	-39.41570	12.02220
201	45	9.97574	10	-4	-40.54390	15.67240
202	45	9.97681	11	-5	-41.64370	19.23120
203	45	9.97802	11	-6	-42.74350	22.78960
204	45	9.97934	11	-7	-43.81490	26.25640
205	45	9.98082	12	-8	-44.91440	29.81400
206	45	9.98245	12	-9	-46.01370	33.37110
207	45	9.98421	12	-9	-47.11290	36.92770
208	45	9.98611	12	-10	-48.21190	40.48370
209	45	9.98815	13	-11	-49.31070	44.03900
210	45	9.99028	13	-12	-50.38120	47.50250
211	45	9.99259	13	-13	-51.47950	51.05650
212	45	9.99378	13	-14	-48.82370	55.76970
213	45	9.99133	12	-13	-47.72560	52.21660
214	45	9.98901	12	-13	-46.62720	48.66270
215	45	9.98684	12	-12	-45.52860	45.10810
216	45	9.98485	11	-11	-44.45800	41.64390
217	45	9.98295	11	-10	-43.35900	38.08790
218	45	9.98118	11	-9	-42.25980	34.53130
219	45	9.97956	11	-8	-41.16040	30.97420
220	45	9.97808	10	-7	-40.06090	27.41660
221	45	9.97673	10	-6	-38.96130	23.85850
222	45	9.97555	10	-5	-37.88970	20.39130
223	45	9.97448	9	-4	-36.78990	16.83260
224	45	9.97355	9	-3	-35.69000	13.27360
225	45	9.97275	9	-2	-34.59000	 9.71440
226	45	9.9721	9	-2	-33.48990	 6.15500
227	45	9.97158	8	-1	-32.38980	 2.59550
228	45	9.9712	8	0	-31.28970	-0.96410
229	45	9.97096	8	1	-30.18960	-4.52360
230	45	9.97086	7	2	-29.08950	-8.08310
231	45	9.9709	7	3	-27.98950	-11.64250
232	45	9.97107	7	4	-26.88950	-15.20170
233	45	9.97138	7	5	-25.81780	-18.66950
234	45	9.97183	6	6	-24.71790	-22.22820
235	45	9.97242	6	7	-23.61820	-25.78660
236	45	9.97314	6	8	-22.51850	-29.34470
237	45	9.97401	6	8	-21.41900	-32.90230
238	45	9.97501	5	9	-20.31970	-36.45940
239	45	9.97612	5	10	-19.24870	-39.92480
240	45	9.97739	5	11	-18.14970	-43.48080
241	45	9.97881	4	12	-17.05080	-47.03620
242	45	9.98036	4	13	-15.95230	-50.59090
243	45	9.98205	4	14	-14.85390	-54.14480
244	45	9.98388	4	15	-13.75580	-57.69790
245	45	9.98277	3	15	-10.00140	-56.53750
246	45	9.98094	3	14	-11.09950	-52.98440
247	45	9.97928	3	13	-12.29410	-49.46030
248	45	9.9777	3	12	-13.29640	-45.87590
249	45	9.97629	4	11	-14.39520	-42.32050
250	45	9.97504	4	10	-15.46610	-38.85570
251	45	9.9739	4	9	-16.56530	-35.29910
252	45	9.97292	5	8	-17.76090	-31.77170
253	45	9.97203	5	7	-18.76410	-28.18440
254	45	9.97131	5	6	-19.86370	-24.62630
255	45	9.97072	5	5	-20.96350	-21.06790
256	45	9.97028	6	5	-22.03510	-17.60040
257	45	9.97	6	4	-23.23130	-14.07110
258	45	9.96979	6	3	-24.23510	-10.48220
259	45	9.96976	7	2	-25.33510	-6.92280
260	45	9.96986	7	1	-26.43520	-3.36330
261	45	9.9701	7	0	-27.53530	 0.19630
262	45	9.9705	7	-1	-28.73170	 3.72610
263	45	9.97099	8	-2	-29.73550	 7.31530
264	45	9.97165	8	-3	-30.83550	10.87470
265	45	9.97244	8	-4	-31.93550	14.43390
266	45	9.97337	8	-5	-33.03550	17.99290
267	45	9.97447	9	-6	-34.23160	21.52190
268	45	9.97562	9	-6	-35.20690	25.01880
269	45	9.97697	9	-7	-36.30650	28.57690
270	45	9.97845	10	-8	-37.40600	32.13450
271	45	9.98008	10	-9	-38.50540	35.69160
272	45	9.98184	10	-10	-39.60460	39.24820
273	45	9.98374	10	-11	-40.70360	42.80420
274	45	9.98573	11	-12	-41.77420	46.26840
275	45	9.9879	11	-13	-42.87280	49.82310
276	45	9.99022	11	-14	-43.97110	53.37700
277	45	9.99267	12	-15	-45.06920	56.93010
278	45	9.99171	11	-15	-41.31440	58.09050
279	45	9.98926	10	-14	-40.21630	54.53740
280	45	9.98694	10	-13	-39.11800	50.98350
281	45	9.98477	10	-12	-38.01940	47.42880
282	45	9.98276	10	-11	-37.01690	43.84370
283	45	9.98088	9	-10	-35.84970	40.40870
284	45	9.97912	9	-9	-34.75060	36.85210
285	45	9.9775	9	-9	-33.65120	33.29490
286	45	9.97602	8	-8	-32.55170	29.73730
287	45	9.97469	8	-7	-31.54840	26.14950
288	45	9.97346	8	-6	-30.35230	22.62090
289	45	9.97242	8	-5	-29.28070	19.15340
290	45	9.97149	7	-4	-28.18070	15.59440
291	45	9.9707	7	-3	-27.08070	12.03510
292	45	9.97006	7	-2	-26.07700	 8.44600
293	45	9.96952	6	-1	-24.88060	 4.91630
294	45	9.96915	6	0	-23.78050	 1.35670
295	45	9.96891	6	1	-22.68040	-2.20280
296	45	9.9688	6	1	-21.58030	-5.76230
297	45	9.96886	5	2	-20.57650	-9.35150
298	45	9.96902	5	3	-19.38030	-12.88090
299	45	9.96933	5	4	-18.28030	-16.44000
300	45	9.96977	4	5	-17.20870	-19.90740
301	45	9.97036	4	6	-16.10890	-23.46590
302	45	9.9711	4	7	-15.10560	-27.05370
303	45	9.97195	4	8	-13.90980	-30.58150
304	45	9.97295	3	9	-12.81040	-34.13860
305	45	9.97409	3	10	-11.71130	-37.69520
